Disease	Type	Country	Symptom	Transmission
Meningitis				
Gonorrhea	bacteria	united states ; france 	itching; joint pain; skin rash; fatigue; abdominal pain	oral; blood; sex; urine; contact
Bubonic Plague	virus	madagascar ; china 		
Syphilis	bacteria	china ; russia ; australia ; oman ; guatemala ; united states ; saudi arabia 	weight loss; depression; muscle pain; malaise; fast heart rate; headache; fatigue; skin rash; runny nose; stiff neck; joint pain	blood; oral; fomite; sex; food; contact
Acinetobacter baumannii				
Actinomycetoma	bacteria			
Actinomycosis	bacteria	germany ; netherlands 		respiratory; oral
Acute prostatitis				
Anaerobic infection				
Bacillary peliosis				
Bacterial pneumonia	bacteria		cough; fatigue; shivering; chills; runny nose; chest pain	respiratory; blood
Bacteroides ureolyticus				
Baggio–Yoshinari syndrome				
Barcoo fever	bacteria	australia 	constipation; nausea; vomiting; diarrhoea	food
Bartonellosis	bacteria	peru 	dizziness; coma; headache; fatigue	blood
Biliary fever				
Bloodstream infections	bacteria		chills	blood; oral; respiratory
Botryomycosis				
Bovine campylobacteriosis	bacteria	spain ; turkey ; new zealand 	headache; abdominal pain; cramps; dehydration; vomiting	blood; oral; fecal; respiratory; sex; food; saliva; contact
Brazilian purpuric fever	bacteria	australia ; united states ; brazil 	vomiting; nausea; high fever; abdominal pain	blood; respiratory; contact
Brazilian Purpuric Fever				
Brodie abscess	bacteria		coma	
Brucella suis	bacteria	united states ; malta 		urine; oral; food
Burkholderia cepacia complex	bacteria			blood; respiratory
Buruli ulcer	bacteria	cameroon ; mexico ; malaysia ; guinea ; french guiana ; australia ; japan ; ghana ; papua new guinea ; switzerland ; oman 		oral; sex; contact; food
Campylobacteriosis				
Capnocytophaga canimorsus	bacteria	australia 	headache; skin rash; malaise; abdominal pain; vomiting	animal bite; contact; oral; blood
Cariogram				
Carrion's disease	bacteria	peru 	weight loss; malaise; joint pain; headache; abdominal pain; nausea; vomiting	blood; respiratory; contact
CC398				
Chlamydia research				
Chlamydia suis	bacteria			
Chronic bacterial prostatitis				
Chronic recurrent multifocal osteomyelitis	bacteria	norway 	joint pain; blister	blood; oral; urine
Combined periodontic-endodontic lesions	bacteria			oral
Contagious bovine pleuropneumonia	bacteria	australia ; united states 		
Copper-silver ionization	bacteria			
Digital dermatitis				
Diphtheria	bacteria	germany ; united kingdom ; venezuela ; guinea ; spain ; haiti ; united states ; india ; france 	cough; headache; fatigue; chills; acidity; sneezing	blood; oral; respiratory; sex; contact
